time,signal,feeder,pump,condition
20-10-2019-15:49:37,play,b'',,R reward
20-10-2019-15:49:47,,b'',,R reward
20-10-2019-15:49:57,play,b'',,R reward
20-10-2019-15:50:07,,b'',,R reward
20-10-2019-15:50:17,play,b'',,R reward
20-10-2019-15:50:27,,b'',,R reward
20-10-2019-15:50:37,play,b'',,R reward
20-10-2019-15:50:47,,b'',,R reward
20-10-2019-15:50:57,play,b'',,R reward
20-10-2019-15:51:07,,b'',,R reward
20-10-2019-15:51:17,play,b'',,R reward
20-10-2019-15:51:27,,b'',,R reward
20-10-2019-15:51:37,play,b'',,R reward
20-10-2019-15:51:47,,b'',,R reward
20-10-2019-15:51:57,play,b'',,R reward
20-10-2019-15:52:07,,b'',,R reward
20-10-2019-15:52:17,play,b'',,R reward
20-10-2019-15:52:27,,b'',,R reward
20-10-2019-15:52:37,play,b'',,R reward
20-10-2019-15:52:47,,b'',,R reward
20-10-2019-15:52:57,play,b'',,R reward
20-10-2019-15:53:07,,b'',,R reward
20-10-2019-15:53:17,play,b'',,R reward
20-10-2019-15:53:27,,b'',,R reward
20-10-2019-15:53:37,play,b'',,R reward
20-10-2019-15:53:47,,b'',,R reward
20-10-2019-15:53:57,play,b'',,R reward
20-10-2019-15:54:07,,b'',,R reward
20-10-2019-15:54:17,,b'',,R reward
20-10-2019-15:54:18,play,,,R reward
20-10-2019-15:54:28,,b'',,R reward
20-10-2019-15:54:38,play,b'',,R reward
20-10-2019-15:54:48,,b'',,R reward
20-10-2019-15:54:58,play,b'',,R reward
20-10-2019-15:55:08,,b'',,R reward
20-10-2019-15:55:18,play,b'',,R reward
20-10-2019-15:55:28,,b'',,R reward
20-10-2019-15:55:38,play,b'',,R reward
20-10-2019-15:55:48,,b'',,R reward
20-10-2019-15:55:58,play,b'',,R reward
20-10-2019-15:56:08,,b'',,R reward
20-10-2019-15:56:18,play,b'',,R reward
20-10-2019-15:56:28,,b'',,R reward
20-10-2019-15:56:38,play,b'',,R reward
20-10-2019-15:56:48,,b'',,R reward
20-10-2019-15:56:58,play,b'',,R reward
20-10-2019-15:57:08,,b'',,R reward
20-10-2019-15:57:18,play,b'',,R reward
20-10-2019-15:57:28,,b'',,R reward
20-10-2019-15:57:38,play,b'',,R reward
20-10-2019-15:57:48,,b'',,R reward
20-10-2019-15:57:58,play,b'',,R reward
20-10-2019-15:58:08,,b'',,R reward
20-10-2019-15:58:18,play,b'',,R reward
20-10-2019-15:58:28,,b'',,R reward
20-10-2019-15:58:38,play,b'',,R reward
20-10-2019-15:58:48,,b'',,R reward
20-10-2019-15:58:58,play,b'',,R reward
20-10-2019-15:59:08,,b'',,R reward
20-10-2019-15:59:18,play,b'',,R reward
20-10-2019-15:59:28,,b'',,R reward
20-10-2019-15:59:38,play,b'',,R reward
20-10-2019-15:59:48,,b'',,R reward
20-10-2019-15:59:58,play,b'',,R reward
20-10-2019-16:00:08,,b'',,R reward
20-10-2019-16:00:18,play,b'',,R reward
20-10-2019-16:00:28,,b'',,R reward
20-10-2019-16:00:38,play,b'',,R reward
20-10-2019-16:00:48,,b'',,R reward
20-10-2019-16:00:58,play,b'',,R reward
20-10-2019-16:01:08,,b'',,R reward
20-10-2019-16:01:18,play,b'',,R reward
20-10-2019-16:01:28,,b'',,R reward
20-10-2019-16:01:38,play,b'',,R reward
20-10-2019-16:01:48,,b'',,R reward
20-10-2019-16:01:58,play,b'',,R reward
20-10-2019-16:02:08,,b'',,R reward
20-10-2019-16:02:18,play,b'',,R reward
20-10-2019-16:02:28,,b'',,R reward
20-10-2019-16:02:38,play,b'',,R reward
20-10-2019-16:02:48,,b'',,R reward
20-10-2019-16:02:58,play,b'',,R reward
20-10-2019-16:03:08,,b'',,R reward
20-10-2019-16:03:18,play,b'',,R reward
20-10-2019-16:03:28,,b'',,R reward
20-10-2019-16:03:38,play,b'',,R reward
20-10-2019-16:03:48,,b'',,R reward
20-10-2019-16:03:58,play,b'',,R reward
20-10-2019-16:04:08,,b'',,R reward
20-10-2019-16:04:18,play,b'',,R reward
20-10-2019-16:04:28,,b'',,R reward
20-10-2019-16:04:38,play,b'',,R reward
20-10-2019-16:04:48,,b'',,R reward
20-10-2019-16:04:58,play,b'',,R reward
20-10-2019-16:05:08,,b'',,R reward
20-10-2019-16:05:18,play,b'',,R reward
20-10-2019-16:05:28,,b'',,R reward
20-10-2019-16:05:38,play,b'',,R reward
20-10-2019-16:05:49,,b'',,R reward
20-10-2019-16:06:00,play,b'',,R reward
20-10-2019-16:06:10,,b'',,R reward
20-10-2019-16:06:20,play,b'',,R reward
20-10-2019-16:06:30,,b'',,R reward
20-10-2019-16:06:40,play,b'',,R reward
20-10-2019-16:06:50,,b'',,R reward
20-10-2019-16:07:00,play,b'',,R reward
20-10-2019-16:07:10,,b'',,R reward
20-10-2019-16:07:20,play,b'',,R reward
20-10-2019-16:07:30,,b'',,R reward
20-10-2019-16:07:40,play,b'',,R reward
20-10-2019-16:07:50,,b'',,R reward
20-10-2019-16:08:00,play,b'',,R reward
20-10-2019-16:08:10,,b'',,R reward
20-10-2019-16:08:20,play,b'',,L reward
20-10-2019-16:08:30,,b'',,L reward
20-10-2019-16:08:40,play,b'',,L reward
20-10-2019-16:08:50,,b'',,L reward
20-10-2019-16:09:00,play,b'',,L reward
20-10-2019-16:09:10,,b'',,L reward
20-10-2019-16:09:20,play,b'',,L reward
20-10-2019-16:09:30,,b'',,L reward
20-10-2019-16:09:40,play,b'',,L reward
20-10-2019-16:09:50,,b'',,L reward
20-10-2019-16:10:00,play,b'',,L reward
20-10-2019-16:10:10,,b'',,L reward
20-10-2019-16:10:20,play,b'',,L reward
20-10-2019-16:10:30,,b'',,L reward
20-10-2019-16:10:40,play,b'',,L reward
20-10-2019-16:10:50,,b'',,L reward
20-10-2019-16:11:00,play,b'',,L reward
20-10-2019-16:11:10,,b'',,L reward
20-10-2019-16:11:21,play,b'',,L reward
20-10-2019-16:11:31,,b'',,L reward
20-10-2019-16:11:41,play,b'',,L reward
20-10-2019-16:11:51,,b'',,L reward
20-10-2019-16:12:01,play,b'',,L reward
20-10-2019-16:12:11,,b'',,L reward
20-10-2019-16:12:21,play,b'',,L reward
20-10-2019-16:12:31,,b'',,L reward
20-10-2019-16:12:41,play,b'',,L reward
20-10-2019-16:12:51,,b'',,L reward
20-10-2019-16:13:01,play,b'',,L reward
20-10-2019-16:13:11,,b'',,L reward
20-10-2019-16:13:21,play,b'',,L reward
20-10-2019-16:13:31,,b'',,L reward
20-10-2019-16:13:41,play,b'',,L reward
20-10-2019-16:13:51,,b'',,L reward
20-10-2019-16:14:01,play,b'',,L reward
20-10-2019-16:14:11,,b'',,L reward
20-10-2019-16:14:21,play,b'',,L reward
20-10-2019-16:14:31,,b'',,L reward
20-10-2019-16:14:41,play,b'',,L reward
20-10-2019-16:14:51,,b'',,L reward
20-10-2019-16:15:01,play,b'',,L reward
20-10-2019-16:15:11,,b'',,L reward
20-10-2019-16:15:21,play,b'',,L reward
20-10-2019-16:15:31,,b'',,L reward
20-10-2019-16:15:41,play,b'',,L reward
20-10-2019-16:15:51,,b'',,L reward
20-10-2019-16:16:01,play,b'',,L reward
20-10-2019-16:16:11,,b'',,L reward
20-10-2019-16:16:21,play,b'',,L reward
20-10-2019-16:16:31,,b'',,L reward
20-10-2019-16:16:41,play,b'',,L reward
20-10-2019-16:16:51,,b'',,L reward
20-10-2019-16:17:01,play,b'',,L reward
20-10-2019-16:17:11,,b'',,L reward
20-10-2019-16:17:21,play,b'',,L reward
20-10-2019-16:17:31,,b'',,L reward
20-10-2019-16:17:41,play,b'',,L reward
20-10-2019-16:17:51,,b'',,L reward
20-10-2019-16:18:01,play,b'',,L reward
20-10-2019-16:18:11,,b'',,L reward
20-10-2019-16:18:21,play,b'',,L reward
20-10-2019-16:18:31,,b'',,L reward
20-10-2019-16:18:41,play,b'',,L reward
20-10-2019-16:18:51,,b'',,L reward
20-10-2019-16:19:01,play,b'',,L reward
20-10-2019-16:19:11,,b'',,L reward
20-10-2019-16:19:21,play,b'',,L reward
20-10-2019-16:19:31,,b'',,L reward
20-10-2019-16:19:41,play,b'',,L reward
20-10-2019-16:19:51,,b'',,L reward
20-10-2019-16:20:01,play,b'',,L reward
20-10-2019-16:20:11,,b'',,L reward
20-10-2019-16:20:21,play,b'',,L reward
20-10-2019-16:20:31,,b'',,L reward
20-10-2019-16:20:41,play,b'',,L reward
20-10-2019-16:20:51,,b'',,L reward
20-10-2019-16:21:01,play,b'',,L reward
20-10-2019-16:21:11,,b'',,L reward
20-10-2019-16:21:21,play,b'',,L reward
20-10-2019-16:21:31,,b'',,L reward
20-10-2019-16:21:41,play,b'',,L reward
20-10-2019-16:21:51,,b'',,L reward
20-10-2019-16:22:01,play,b'',,L reward
20-10-2019-16:22:11,,b'',,L reward
20-10-2019-16:22:22,play,b'',,L reward
20-10-2019-16:22:32,,b'',,L reward
20-10-2019-16:22:42,play,b'',,L reward
20-10-2019-16:22:52,,b'',,L reward
20-10-2019-16:23:02,play,b'',,L reward
20-10-2019-16:23:12,,b'',,L reward
20-10-2019-16:23:22,play,b'',,L reward
20-10-2019-16:23:32,,b'',,L reward
20-10-2019-16:23:42,play,b'',,L reward
20-10-2019-16:23:52,,b'',,L reward
20-10-2019-16:24:02,play,b'',,L reward
20-10-2019-16:24:12,,b'',,L reward
20-10-2019-16:24:22,play,b'',,L reward
20-10-2019-16:24:32,,b'',,L reward
20-10-2019-16:24:42,play,b'',,L reward
20-10-2019-16:24:52,,b'',,L reward
20-10-2019-16:25:02,play,b'',,L reward
20-10-2019-16:25:12,,b'',,L reward
20-10-2019-16:25:22,play,b'',,L reward
20-10-2019-16:25:32,,b'',,L reward
20-10-2019-16:25:42,play,b'',,L reward
20-10-2019-16:25:52,,b'',,L reward
20-10-2019-16:26:02,play,b'',,L reward
20-10-2019-16:26:12,,b'',,L reward
20-10-2019-16:26:22,play,b'',,L reward
20-10-2019-16:26:32,,b'',,L reward
20-10-2019-16:26:42,play,b'',,L reward
20-10-2019-16:26:52,,b'',,L reward
20-10-2019-16:27:02,play,b'',,L reward
20-10-2019-16:27:12,,b'',,L reward
20-10-2019-16:27:22,play,b'',,L reward
20-10-2019-16:27:32,,b'',,L reward
20-10-2019-16:27:42,play,b'',,L reward
20-10-2019-16:27:52,,b'',,L reward
20-10-2019-16:28:02,play,b'',,L reward
20-10-2019-16:28:12,,b'',,L reward
20-10-2019-16:28:22,play,b'',,L reward
20-10-2019-16:28:32,,b'',,L reward
20-10-2019-16:28:42,play,b'',,L reward
20-10-2019-16:28:52,,b'',,L reward
20-10-2019-16:29:02,play,b'',,L reward
20-10-2019-16:29:12,,b'',,L reward
