,signal,feeder,pump
12-05-2019-17:24:36,,b'',
12-05-2019-17:24:41,,b'',
12-05-2019-17:24:46,,b'',
12-05-2019-17:24:51,play,b'',
12-05-2019-17:24:58,,b'',
12-05-2019-17:25:03,,b'',
12-05-2019-17:25:08,,b'',
12-05-2019-17:25:13,play,b'',
12-05-2019-17:25:20,,b'',
12-05-2019-17:25:25,,b'',
12-05-2019-17:25:30,,b'',
12-05-2019-17:25:35,play,b'',
12-05-2019-17:25:42,,b'',
12-05-2019-17:25:47,,b'',
12-05-2019-17:25:52,,b'',
12-05-2019-17:25:57,play,b'',
12-05-2019-17:26:04,,b'',
12-05-2019-17:26:09,,b'',
12-05-2019-17:26:14,,b'',
12-05-2019-17:26:19,play,b'',
12-05-2019-17:26:26,,b'',
12-05-2019-17:26:31,,b'',
12-05-2019-17:26:36,,b'',
12-05-2019-17:26:41,play,b'',
12-05-2019-17:26:48,,b'',
12-05-2019-17:26:53,,b'',
12-05-2019-17:26:58,,b'',
12-05-2019-17:27:03,play,b'',
12-05-2019-17:27:10,,b'',
12-05-2019-17:27:15,,b'',
12-05-2019-17:27:20,,b'',
12-05-2019-17:27:25,play,b'',
12-05-2019-17:27:32,,b'',
12-05-2019-17:27:37,,b'',
12-05-2019-17:27:42,,b'',
12-05-2019-17:27:47,play,b'',
12-05-2019-17:27:54,,b'',
12-05-2019-17:27:59,,b'',
12-05-2019-17:28:04,,b'',
12-05-2019-17:28:09,play,b'',
12-05-2019-17:28:16,,b'',
12-05-2019-17:28:21,,b'',
12-05-2019-17:28:26,,b'',
12-05-2019-17:28:31,play,b'',
12-05-2019-17:28:38,,b'',
12-05-2019-17:28:43,,b'',
12-05-2019-17:28:48,,b'',
12-05-2019-17:28:53,play,b'',
12-05-2019-17:29:01,,b'',
12-05-2019-17:29:06,,b'',
12-05-2019-17:29:11,,b'',
12-05-2019-17:29:16,play,b'',
12-05-2019-17:29:23,,b'',
12-05-2019-17:29:28,,b'',
12-05-2019-17:29:33,,b'',
12-05-2019-17:29:38,play,b'',
12-05-2019-17:29:45,,b'',
12-05-2019-17:29:50,,b'',
12-05-2019-17:29:55,,b'',
12-05-2019-17:30:00,play,b'',
12-05-2019-17:30:07,,b'',
12-05-2019-17:30:12,,b'',
12-05-2019-17:30:17,,b'',
12-05-2019-17:30:22,play,b'',
12-05-2019-17:30:29,,b'',
12-05-2019-17:30:34,,b'',
12-05-2019-17:30:39,,b'',
12-05-2019-17:30:44,play,b'',
12-05-2019-17:30:51,,b'',
12-05-2019-17:30:56,,b'',
12-05-2019-17:31:01,,b'',
12-05-2019-17:31:06,play,b'',
