,signal,bat_id_1,bat_id_2,feeder,pump,condition
05-11-2019-23:34:00,,,,no_bat,,L reward
05-11-2019-23:34:01,,,,no_bat,,L reward
05-11-2019-23:34:02,,,,no_bat,,L reward
05-11-2019-23:34:03,,,,no_bat,,L reward
05-11-2019-23:34:04,,,,no_bat,,L reward
05-11-2019-23:34:05,,,,no_bat,,L reward
05-11-2019-23:34:06,,,,no_bat,,L reward
05-11-2019-23:34:07,,,,no_bat,,L reward
05-11-2019-23:34:08,,,,no_bat,,L reward
05-11-2019-23:34:09,,,,no_bat,,L reward
05-11-2019-23:34:10,,,,no_bat,,L reward
05-11-2019-23:34:11,,,,no_bat,,L reward
05-11-2019-23:34:12,,,,no_bat,,L reward
05-11-2019-23:34:13,,,,no_bat,,L reward
05-11-2019-23:34:14,,,,no_bat,,L reward
05-11-2019-23:34:15,,,,no_bat,,L reward
05-11-2019-23:34:16,,,,no_bat,,L reward
05-11-2019-23:34:17,,,,no_bat,,L reward
05-11-2019-23:34:18,,,,no_bat,,L reward
05-11-2019-23:34:19,,,,no_bat,,L reward
05-11-2019-23:34:20,,,,no_bat,,L reward
05-11-2019-23:34:21,play,,,no_bat,,L reward
05-11-2019-23:34:22,,,,no_bat,,L reward
05-11-2019-23:34:23,,,,no_bat,,L reward
05-11-2019-23:34:24,,,,no_bat,,L reward
05-11-2019-23:34:25,,,,no_bat,,L reward
05-11-2019-23:34:26,,,,no_bat,,L reward
05-11-2019-23:34:27,,,,no_bat,,L reward
05-11-2019-23:34:28,,,,no_bat,,L reward
05-11-2019-23:34:29,,,,no_bat,,L reward
05-11-2019-23:34:30,,,,no_bat,,L reward
05-11-2019-23:34:31,,,,no_bat,,L reward
05-11-2019-23:34:32,,,,no_bat,,L reward
05-11-2019-23:34:33,,,,no_bat,,L reward
05-11-2019-23:34:34,,,,no_bat,,L reward
05-11-2019-23:34:35,,,,no_bat,,L reward
05-11-2019-23:34:36,,,,no_bat,,L reward
05-11-2019-23:34:37,,,,no_bat,,L reward
05-11-2019-23:34:38,,,,no_bat,,L reward
05-11-2019-23:34:39,,,,no_bat,,L reward
05-11-2019-23:34:40,,,,no_bat,,L reward
05-11-2019-23:34:41,,,,no_bat,,L reward
05-11-2019-23:34:42,,,,no_bat,,L reward
05-11-2019-23:34:43,play,,,no_bat,,L reward
05-11-2019-23:34:44,,,,no_bat,,L reward
05-11-2019-23:34:45,,,,no_bat,,L reward
05-11-2019-23:34:46,,,,no_bat,,L reward
05-11-2019-23:34:47,,,,no_bat,,L reward
05-11-2019-23:34:48,,,,no_bat,,L reward
05-11-2019-23:34:49,,,,no_bat,,L reward
05-11-2019-23:34:50,,,,no_bat,,L reward
05-11-2019-23:34:51,,,,no_bat,,L reward
05-11-2019-23:34:52,,,,no_bat,,L reward
05-11-2019-23:34:53,,,,no_bat,,L reward
05-11-2019-23:34:54,,,,no_bat,,L reward
05-11-2019-23:34:55,,,,no_bat,,L reward
05-11-2019-23:34:56,,,,no_bat,,L reward
05-11-2019-23:34:57,,,,no_bat,,L reward
05-11-2019-23:34:58,,,,no_bat,,L reward
05-11-2019-23:34:59,,,,no_bat,,L reward
05-11-2019-23:35:00,,,,no_bat,,L reward
05-11-2019-23:35:01,,,,no_bat,,L reward
05-11-2019-23:35:02,,,,no_bat,,L reward
05-11-2019-23:35:03,,,,no_bat,,L reward
05-11-2019-23:35:04,,,,no_bat,,L reward
05-11-2019-23:35:05,play,,,no_bat,,L reward
05-11-2019-23:35:06,,,,no_bat,,L reward
05-11-2019-23:35:07,,,,no_bat,,L reward
05-11-2019-23:35:08,,,,no_bat,,L reward
05-11-2019-23:35:09,,,,no_bat,,L reward
05-11-2019-23:35:10,,,,no_bat,,L reward
05-11-2019-23:35:11,,,,no_bat,,L reward
05-11-2019-23:35:12,,,,no_bat,,L reward
05-11-2019-23:35:13,,,,no_bat,,L reward
05-11-2019-23:35:14,,,,no_bat,,L reward
05-11-2019-23:35:16,,,,no_bat,,L reward
05-11-2019-23:35:17,,,,no_bat,,L reward
05-11-2019-23:35:18,,,,no_bat,,L reward
05-11-2019-23:35:19,,,,no_bat,,L reward
05-11-2019-23:35:20,,,,no_bat,,L reward
05-11-2019-23:35:21,,,,no_bat,,L reward
05-11-2019-23:35:22,,,,no_bat,,L reward
05-11-2019-23:35:23,,,,no_bat,,L reward
05-11-2019-23:35:24,,,,no_bat,,L reward
05-11-2019-23:35:25,,,,no_bat,,L reward
05-11-2019-23:35:26,play,,,no_bat,,L reward
05-11-2019-23:35:27,,,,no_bat,,L reward
05-11-2019-23:35:28,,,,no_bat,,L reward
05-11-2019-23:35:29,,,,no_bat,,L reward
05-11-2019-23:35:30,,,,no_bat,,L reward
